CIK,Filename,Initials,Notes
107815,edgar/data/107815/0000107815-17-000106.txt,KL
354707,edgar/data/354707/0000354707-19-000043.txt,KL
61339,edgar/data/61339/0001161728-17-000004.txt,KL
1317577,edgar/data/1317577/0001193125-13-356794.txt,KL
59527,edgar/data/59527/0000059527-20-000007.txt,KL
40545,edgar/data/40545/0000040545-04-000013.txt,KL
84557,edgar/data/84557/0001046861-06-000007.txt,KL
100826,edgar/data/100826/0001193125-09-042636.txt,KL
81033,edgar/data/81033/0000950117-06-000927.txt,KL
4904,edgar/data/4904/0000004904-09-000040.txt,KL
46207,edgar/data/46207/0001104659-13-011461.txt,KL
205402,edgar/data/205402/0000950114-99-000043.txt,KL
77227,edgar/data/77227/0001031296-09-000008.txt,KL
92487,edgar/data/92487/0000004904-21-000010.txt,KL
922237,edgar/data/922237/0000950005-99-000915.txt,KL
106170,edgar/data/106170/0000072741-98-000076.txt,KL
1223037,edgar/data/1223037/0001193125-09-249998.txt,KL
3146,edgar/data/3146/0001193125-06-055140.txt,KL
932628,edgar/data/932628/0000932628-16-000045.txt,KL
804212,edgar/data/804212/0000804212-14-000014.txt,KL
92416,edgar/data/92416/0000892569-94-000102.txt,KL
38079,edgar/data/38079/0001558370-16-004332.txt,KL
933157,edgar/data/933157/0001144204-08-021779.txt,KL
869495,edgar/data/869495/0001144204-13-002380.txt,KL
80812,edgar/data/80812/0000927016-98-004349.txt,KL
1582244,edgar/data/1582244/0001582244-16-000187.txt,KL
1166847,edgar/data/1166847/0001117768-12-000118.txt,KL
86521,edgar/data/86521/0000086521-10-000019.txt,KL
1012493,edgar/data/1012493/0000922358-99-000021.txt,KL
1170154,edgar/data/1170154/0001193125-11-062378.txt,KL
1140414,edgar/data/1140414/0001387131-16-004912.txt,KL
1158053,edgar/data/1158053/0000893220-04-001186.txt,KL
71675,edgar/data/71675/0001046861-02-000012.txt,KL
96271,edgar/data/96271/0001193125-07-042781.txt,KL
710182,edgar/data/710182/0000930661-97-000576.txt,KL
1029528,edgar/data/1029528/0001193125-04-043994.txt,KL
1043186,edgar/data/1043186/0001564590-19-011739.txt,KL
9342,edgar/data/9342/0000009342-95-000008.txt,KL
18647,edgar/data/18647/0001169232-08-000603.txt,KL
20947,edgar/data/20947/0001031296-06-000044.txt,KL
916529,edgar/data/916529/0001144204-03-001333.txt,KL
60549,edgar/data/60549/0001047469-98-012481.txt,KL
38725,edgar/data/38725/0000038725-17-000042.txt,KL
100122,edgar/data/100122/0000941138-03-000007.txt,KL
355811,edgar/data/355811/0000355811-18-000009.txt,KL
1039065,edgar/data/1039065/0001558370-15-001687.txt,KL
1008654,edgar/data/1008654/0001008654-20-000018.txt,KL
9534,edgar/data/9534/0000897069-05-000574.txt
1085866,edgar/data/1085866/0001072613-06-000748.txt
1045425,edgar/data/1045425/0000893220-05-000599.txt
1090908,edgar/data/1090908/0001437749-16-034757.txt
1546640,edgar/data/1546640/0001546640-14-000023.txt
844143,edgar/data/844143/0001104659-07-008735.txt
722056,edgar/data/722056/0001012870-99-002106.txt
1599298,edgar/data/1599298/0001599298-21-000011.txt
1010961,edgar/data/1010961/0001010961-01-500013.txt
802781,edgar/data/802781/0000950116-97-000760.txt
742126,edgar/data/742126/0001015402-05-001005.txt
930835,edgar/data/930835/0001047469-04-007773.txt
1174922,edgar/data/1174922/0001193125-10-043336.txt
1433270,edgar/data/1433270/0001047469-14-001424.txt
1275229,edgar/data/1275229/0001558370-19-002331.txt
18230,edgar/data/18230/0000950131-98-002084.txt
940942,edgar/data/940942/0001564590-21-009409.txt
320575,edgar/data/320575/0001193125-07-117419.txt
78778,edgar/data/78778/0000078778-97-000019.txt
1627811,edgar/data/1627811/0001493152-19-004568.txt
78890,edgar/data/78890/0000078890-14-000004.txt
99250,edgar/data/99250/0000099250-00-000002.txt
78100,edgar/data/78100/0001109357-20-000053.txt
700949,edgar/data/700949/0000892626-96-000081.txt
1468174,edgar/data/1468174/0001468174-21-000011.txt
805730,edgar/data/805730/0001104659-05-009806.txt
820242,edgar/data/820242/0000912057-01-517770.txt
52795,edgar/data/52795/0000950137-00-000865.txt
944130,edgar/data/944130/0001432093-11-000164.txt
66901,edgar/data/66901/0000065984-96-000046.txt
722077,edgar/data/722077/0001047469-15-002056.txt
103872,edgar/data/103872/0001193125-13-444053.txt
1065201,edgar/data/1065201/0001193125-10-070085.txt
729213,edgar/data/729213/0001038838-01-000141.txt
1383414,edgar/data/1383414/0001193125-14-409216.txt
1493594,edgar/data/1493594/0001493594-19-000064.txt
1039399,edgar/data/1039399/0001039399-20-000011.txt
943452,edgar/data/943452/0001193125-07-043570.txt
944739,edgar/data/944739/0001193125-06-035399.txt
61986,edgar/data/61986/0000061986-99-000003.txt
6769,edgar/data/6769/0000950129-03-001523.txt
319201,edgar/data/319201/0000891618-98-004336.txt
34067,edgar/data/34067/0001104659-06-016592.txt
1265245,edgar/data/1265245/0000770944-04-000004.txt
1066134,edgar/data/1066134/0001193125-08-186978.txt
789570,edgar/data/789570/0000898430-95-000343.txt
1273013,edgar/data/1273013/0001104659-07-020456.txt
88205,edgar/data/88205/0000950168-03-000755.txt
1286613,edgar/data/1286613/0001140361-18-012880.txt
